name,type,url,lvl,Vitality,Wisdom,Strength,Intelligence,Chance,Agility,Power,AP,MP,Range,Summon,Critical Hit,Initiative,Prospection,Lock,Dodge,AP Reduction,MP Reduction,AP Res,MP Res,Push Res.,Crit. Res,Pods,Trap Damage,%Trap Dam,Damage,Neutral Damage,Earth Damage,Fire Damage,Water Damage,Air Damage,Crit. Damage,Push Damage,Heal,Neutral Res.,Earth Res.,Fire Res.,Water Res.,Air Res.,%Neutral Res,%Earth Res,%Fire Res,%Water Res,%Air Res,Critical Hit,%Melee Res,%Range Res
Ceinture Gence,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19596-ceinture-gence,200,301,31,61,,,,,1,,,,2,,11,-20,,,,,11,,,,,,,14,14,,,,,16,,,,,,,,,,,7,2,,
Masquegel,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19980-masquegel,200,301,31,,61,,61,,,,,1,-10,,,,7,,,7,,,,,,,,,,11,,11,,,,,,,,,7,,,7,,-10,,
Bottes de Mille Lieues,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/20363-bottes-mille-lieues,200,301,,,,,,31,,1,,,,401,,-20,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandales Paztek,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/20463-sandales-paztek,200,351,31,,61,61,,,,1,,,-10,,,7,,,,,,,-30,,,,,,,11,11,,,16,,,,,,,7,,7,,,-10,,
Dofusteuse,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/958-dofusteuse,200,301,31,,,,,,,,,,4,,,,,,,,,,,,,,,7,7,7,7,7,,,,,,,,,4,4,4,4,4,4,,
Coiffe Ranshi,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14063-coiffe-ranshi,200,351,31,,,,,51,1,,,,,,16,11,,,,7,,,,,,,,16,,,,,-16,,11,,,,,,,,,,,,,
Amulette Séculaire,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14080-amulette-seculaire,200,251,31,,61,,16,,1,,,,,,16,,,,,,,,11,,,,,,,8,,8,,,,,,,,,6,,6,,,,,
Masque du Granduk,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14082-masque-granduk,200,351,41,,,,61,,,,-1,,3,301,11,,,4,,,,,,,,,,,,,,14,,,,,,,,,6,6,,,,3,,
Bottes du Sinistrofu,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14087-bottes-sinistrofu,200,251,16,,,61,,,,1,,,,201,16,,,,,,,,,,,,,,-16,,14,,,,,11,,,11,,,7,,,7,,,
Amulette du Strigide,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14094-amulette-strigide,200,351,31,,,,,51,1,,,,4,,,11,,,,4,,,-16,,,,,,,,,,16,,,,,,,,,6,,,6,4,,
Bottes Dogues,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14171-bottes-dogues,200,251,21,31,31,,,,,2,,2,,,11,,,5,,,,,,,,,,,10,10,,,,,11,,,,,,,,,,,,,
Talisman Glouti,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14878-talisman-glouti,200,301,26,,,31,,,1,,1,,3,,,5,,,,,,21,-21,,,,,,,4,7,4,,,,,,,,,,7,7,,,3,,
Cape du Barbétoal,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15184-cape-barbetoal,200,301,31,,,41,41,,,,,,3,,21,,-7,5,,,7,,,,,,,,,,9,9,,11,,,,,,,,,,,7,3,,
Tongues de Nidas,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15188-tongues-nidas,200,351,31,,41,,,,,1,1,,,,16,,7,,4,,,16,,,,,,,,11,,,,,,,,,,9,,,,7,,,,
Bracelet du Piloztère,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15190-bracelet-piloztere,200,251,,,,,,41,,,2,,3,,,,,,,,,,,,,,,7,7,,7,,,,,,,,,,7,,,,,3,,
Alliance du Lévitrof,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15193-alliance-levitrof,200,201,31,31,31,31,,,,,,1,,201,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,,,,4,,,,,
Bottes des Malveilleurs,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15437-bottes-malveilleurs,200,301,31,,31,31,31,,,1,,,2,,11,7,,,,,,,,,,,,,,9,9,9,,16,,,,,,,5,,,,,2,,
Chapeau des Malveilleurs,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15438-chapeau-malveilleurs,200,251,31,,41,41,41,,,,,1,2,,,7,,,,,,,,,,,,,,9,9,9,,16,,,,,,,,7,,,,2,,
Anneau du Katcheur,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15440-anneau-katcheur,200,301,31,31,31,,31,,,,,,2,301,11,,,,,,,,,,,,,7,7,7,,7,-21,,,,,,,,,,,,,2,,
Maskrobe,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15695-maskrobe,200,301,31,,,,,41,,1,,1,2,,,,5,,4,-10,,16,,,,,,9,9,9,9,9,,,,,,,,,,,,,,2,,
Ceintacé,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15699-ceintace,200,301,31,,,,,31,1,,,,3,,11,,-10,,,,5,16,,,,,,,,,,,16,,,,,,,,7,,,7,,3,,
Amulette de Pol Ouatnos,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15701-amulette-pol-ouatnos,200,301,31,,,,,51,1,1,,,2,,11,,,,,,,,21,,,,,,,,,,,,,,,,,,,5,,5,,2,,
Sabots de Vortex,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15744-sabots-vortex,200,301,31,,51,,51,,,1,,,3,,,,,4,,,-10,,16,,,,,,,11,,11,,,9,,,,,,,,,7,,3,,
Talisman Igans,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15749-talisman-igans,200,301,31,,41,41,,,1,,1,,3,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,5,5,,,,3,,
Bottes Owesli,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15751-bottes-owesli,200,351,31,,31,31,,,,1,1,,,,,,,,,,,,,,,,,,,16,16,,,16,,,,,,,5,5,,,,,,
Sandales des Fonds marins,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/16006-sandales-fonds-marins,200,301,31,,,51,,,,1,,,3,,11,7,,,,,5,,,,,,,,,,11,,,,,,,,,,7,7,,,,3,,
Amulette Voldelor,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17103-amulette-voldelor,200,251,31,,,51,51,,1,,,,,,11,,5,,,,-5,,,,,,,,,,9,9,11,,,,,,,,,,7,7,,,,
Boucle d'oreille de Kongoku,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17107-boucle-oreille-kongoku,200,301,31,,,,,21,,,,1,7,401,11,9,,,5,,,,,,,,,,,,,,,,,,,,,,7,,,,7,7,,
Ceinture de Kongoku,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17108-ceinture-kongoku,200,301,31,,,,,21,,,1,,4,401,11,9,,,5,,,,11,,,,,,,,,,,,,,,,,,5,,5,5,,4,,
Bottes de la Dame du Hasard,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17575-bottes-dame-hasard,200,301,31,,51,51,,,,1,,,3,,,,4,,4,,,,,,,,,,,11,11,,11,,,,,,,,,,,,7,3,,
Collier de la Dame du Hasard,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17576-collier-dame-hasard,200,301,31,,41,41,,,1,,,1,,,11,,4,,5,,,,,,,,,,,9,9,,16,,,,,,,,,,,,7,,,
Cape du Chalœil,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17580-cape-chaloeil,200,351,,31,31,31,31,7,,,,,3,,,,,,,,,,16,,,,,7,7,7,7,7,,,,,,,,,,7,,,7,3,,
Gant du Valet Veinard,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17582-gant-valet-veinard,200,251,31,,,,41,,,,1,,,,11,,,,,,4,11,,,,,,,,,,11,,,,,,,,,,7,,,,,,
Cape d'Atcham,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17584-cape-atcham,200,301,31,,41,41,41,,,,,,3,,11,,5,5,,,,,,,,,,,,9,9,9,11,,,,,,,,,7,,,,3,,
Sandales d'Atcham,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/17585-sandales-atcham,200,301,31,,31,31,31,,,1,,,2,,11,,,5,,,,,,,,,,,,7,7,7,7,,,,,,,,5,,,5,,2,,
Pendentif affamé,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18001-pendentif-affame,200,301,31,,81,,,,1,,,,3,,,,16,,,,,,,,,,,,,11,,,,,7,,,,,,,7,,,,3,,
Palmes Trithons,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18007-palmes-trithons,200,301,31,,,,81,,,1,,,2,,11,,,,,,9,,,,,,,,,,,16,,,,,,,,,5,,,5,,2,,
Cape Indescriptible,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18008-cape-indescriptible,200,401,41,,,,71,,,,2,,,,,,,,,,,,,,,,,,,,,16,11,,,,,,,,,,7,,,,,
Menoture,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18009-menoture,200,301,31,,,,61,,1,,,,4,,11,,,9,,,,,,,,,,,,,,16,,,,,,,,,,7,,,,4,,
Cape de Meno,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18024-cape-meno,200,351,31,,31,31,,,,,,1,4,,,,7,,4,,,,,,,,,,,9,9,,11,,9,,,,,,,,,7,,4,,
Bottes de l'Indicible,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18028-bottes-indicible,200,301,,,,,,,,1,1,1,,,,,7,,,,,,,,,,,16,16,16,16,16,,,,,,,,,,,5,,5,,,
Casque Cyclopéen,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18036-casque-cyclopeen,200,301,31,,51,,51,,,,1,1,,,11,,5,,,,,,16,,,,,,,11,,11,,,,,,,,,,,5,,5,,,
Anneau Rifique,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18037-anneau-rifique,200,251,31,,61,,61,,,,,,,,,,,,,,,,11,,,,,,,5,,5,,,11,,,,,,7,,,,,,,
Le Dorado,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18439-dorado,200,301,21,41,41,41,41,,1,,2,,,,,7,,,,7,,,,,,,,7,7,7,7,7,,,,,,,,,,,,,,,,
Bottistik,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18593-bottistik,200,301,26,31,31,,,,,1,,,,,,,,,,,,,21,,,,,7,7,7,,,,16,9,,,,,,,,,,7,,,
Baguistik,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18594-baguistik,200,251,31,31,31,,,,,,1,,3,,,,,,,,,,21,,,,,5,5,5,,,,,7,,,,,,,,,5,,3,,
Torquistik,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/18595-torquistik,200,251,21,31,31,,,,1,,1,,,,11,,,,,,,,16,,,,,7,7,7,,,,16,7,,,,,,5,,5,,,,,
Goulclier,Bouclier,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19080-goulclier,200,,,,,,,21,,,,,,,,,,,,9,,,21,,,,,,,,,,,,,,,,,,,,,,,,-15,11
Amulette du Cœur Vaillant,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19241-amulette-coeur-vaillant,200,301,31,41,,,41,,1,,,,4,,11,,,5,,,,,,,,,,9,9,,,9,,16,,,,,,,,,7,,,4,,
Masque de l'Esprit Malsain,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19252-masque-esprit-malsain,200,301,31,,41,41,,,,,,,3,,,11,,,,,7,,,,,,,,,11,11,,,16,9,,,,,,,,,,7,3,,
Cape de l'Œil Putride,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19256-cape-oeil-putride,200,251,31,,41,41,41,,,,,1,,,11,,,,5,,,,,,,,,,,7,7,7,,,,,,,,,,,7,7,,,,
Bouclier Brâkmarien,Bouclier,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19260-bouclier-brakmarien,200,,,,,,,,,,,,4,401,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,4,11,-15
Amulette d'Ilyzaelle,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19261-amulette-ilyzaelle,200,351,21,,,61,61,,1,,1,,-10,,,,,,,,7,,,,,,,,,,11,11,,,,,,,,,7,,7,,,-10,,
Masque Brûlâme,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19266-masque-brulame,200,301,31,51,51,,51,,,,,,3,,,,,,,,,,16,,,,,9,9,9,,9,,,,,,,,,,5,,5,,3,,
Sac Volcanique,Sac à dos,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19591-sac-volcanique,200,351,31,61,61,,,,,,,,2,,11,11,,,,,,,,,,,,11,11,11,,,,,9,,,,,,,7,,,,2,,
Lavanneau,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19597-lavanneau,200,201,31,,41,41,,,,,1,,,,,,,,,,,,,,,,,,,9,9,,,,9,,,,,,,,,,7,,,
Bouclier de Solar,Bouclier,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19598-bouclier-solar,200,81,,,,,,,,,,,,,,,,,,,9,51,,,,,,,,,,,,,,,,,,,,,,,,,11,
Cape Solution,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19607-cape-solution,200,301,31,,,61,,,1,,,1,3,,11,,,,,,,,,,,,,,,,11,,,11,,,,,,,7,7,,,,3,,
Bottes Honyme,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/19610-bottes-honyme,200,301,31,31,31,31,,,1,1,1,,2,,,,-10,,,,,,,,,,,7,7,7,7,,,,,,,,,,,,,,7,2,,
Couronne de Brâm Barbe-Monde,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/20359-couronne-bram-barbe-monde,200,351,,61,61,,,,,,,,,,,,,,,,-30,,,,,,,7,7,7,7,7,,,,,,,,,,,,,,,,
Ceinture de Dame Jhessica,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/20366-ceinture-dame-jhessica,200,401,,,,81,,,,,,,-15,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,-15,7,
Anneau du Comte Harebourg,Anneau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14077-anneau-comte-harebourg,200,301,31,31,,,,,,,,,5,-401,,,,,,,,,16,,,,,11,11,,,,,,,,,,,,,,,,,5,,
Bottes du Comte Harebourg,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14078-bottes-comte-harebourg,200,351,31,61,,,,,,1,,,,,,11,,,,,-7,21,,,,,,16,16,,,,,,,21,,,,,,,,,,,,
Coiffe Séculaire,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14079-coiffe-seculaire,200,251,31,,71,,31,,,,,1,,,11,,,,,,,,,,,,,,,7,,7,,,8,,,,,11,,5,,5,,,,
Amulette du Granduk,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14083-amulette-granduk,200,301,31,,,,71,,1,,-1,1,3,,11,7,,,,,,,,,,,,,,,,11,7,,,,,,16,16,,,,,,3,,
Cape du Sinistrofu,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14085-cape-sinistrofu,200,251,16,,,71,,,,,,,4,,16,,8,,,,,,,,,,,,-11,,14,,,,7,,11,,,,8,,,6,,4,,
Amulette du Sinistrofu,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14086-amulette-sinistrofu,200,251,16,,,51,,,1,,1,,4,,11,,,,,,5,,11,,,,,,-16,,16,,,16,,,,,,16,,,6,,,4,,
Amulette du Cycloïde,Amulette,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14091-amulette-cycloide,200,351,21,41,41,,41,,1,,,1,,,,6,,,,-6,,,,,,,,8,8,8,,8,,,,,,,,,6,,6,,,,,
Bottes du Cycloïde,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14093-bottes-cycloide,200,301,31,31,31,,31,,,1,1,,4,,,,,,,,,,,,,,,7,7,7,,7,7,-21,,,11,,,,,,,,7,4,,
Cape des Justiciers,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/14937-cape-justiciers,200,201,31,31,31,31,31,,1,,,,2,,,,,,,,,,,,,,,7,7,7,7,7,,,,,,,,,,,,,7,2,,
Ceinture du Barbétoal,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15185-ceinture-barbetoal,200,301,31,,,51,51,,,,,1,4,,11,,,,,,,,,,,,,,,,9,9,,,,,,,,,5,5,5,,,4,,
Bottes du Lévitrof,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15194-bottes-levitrof,200,301,31,41,41,41,,,,1,,,,,,,11,,,,,,,,,,,11,11,11,11,,,,,,,,,,,6,,,,,,
Bottes du Kamasterisk,Bottes,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15196-bottes-kamasterisk,200,301,31,41,,,41,,,1,1,,,,21,-10,,,4,,,-11,11,,,,,9,9,,,9,,,,,,,9,,,,7,,,,,
Cape du Kamasterisk,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15197-cape-kamasterisk,200,301,31,41,,,41,,,,1,1,,,11,,,,,5,,,,,,,,9,9,,,9,,,,,,,,,,5,,,7,,,
Ceinture de la Cour Sombre,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15429-ceinture-cour-sombre,200,301,31,41,,,,,,,,1,3,301,11,11,,4,,,,16,,,,,,11,11,,,,,,,,,,,,,,7,,,3,,
Ceinture de la Reine des Voleurs,Ceinture,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15434-ceinture-reine-voleurs,200,301,31,51,,51,,,,,1,,3,,11,,,,,,,,21,,,,,11,11,,11,,,,,,,,,,,5,,,,3,,
Coiffe de la Reine des Voleurs,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15436-coiffe-reine-voleurs,200,351,31,61,,,61,,,,,1,,,11,,,,,,,,16,,,,,11,11,,,11,,,,,,,,,,7,,,,,,
Cape des Malveilleurs,Cape,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15439-cape-malveilleurs,200,351,21,,31,31,31,,,,2,,2,,,7,,,,,,,,,,,,,,9,9,9,,21,,,,,,,,,,,7,2,,
Masque du Katcheur,Chapeau,https://www.dofus.com/fr/mmorpg/encyclopedie/equipements/15442-masque-katcheur,200,401,31,41,41,,41,,,,1,,3,301,11,,,,,,,,,,,,,9,9,9,,9,,,9,,,,,,,,,,,3,,
